Week,Month,Alder,Hazel,Elm,Birch,Grass,Mugwort
1,January,0,0,0,0,0,0
2,January,0,0,0,0,0,0
3,January,0,0,0,0,0,0
4,January,1,0,0,0,0,0
5,January,15,6,0,0,0,0
6,February,5,1,0,0,0,0
7,February,37,22,0,0,0,0
8,February,88,10,3,0,0,0
9,February,31,1,0,0,0,0
10,March,78,5,1,0,0,0
11,March,29,2,8,0,0,0
12,March,7,2,17,0,0,0
13,March,6,5,22,35,0,0
14,April,1,0,10,150,0,0
15,April,1,0,7,273,3,0
16,April,0,0,0,48,0,0
17,April,1,0,0,64,1,0
18,April,0,0,0,154,12,0
19,May,0,0,0,19,7,0
20,May,0,0,0,8,8,0
21,May,0,0,0,3,9,0
22,May,0,0,0,1,64,0
23,June,0,0,0,1,53,0
24,June,0,0,0,1,129,0
25,June,0,0,0,0,62,1
26,June,0,0,0,0,49,2
27,July,0,0,0,0,15,1
28,July,0,0,0,0,18,4
29,July,0,0,0,0,10,7
30,July,0,0,0,0,5,9
31,July,0,0,0,0,4,9
32,August,0,0,0,0,4,10
33,August,0,0,0,0,4,5
34,August,0,0,0,0,7,2
35,August,0,0,0,0,5,1
36,September,0,0,0,0,4,5
37,September,0,0,0,0,2,0
38,September,0,0,0,0,1,6
39,September,0,0,0,0,0,1
40,September,0,0,0,0,0,0
41,October,0,0,0,0,0,0
42,October,0,0,0,0,0,0
43,October,0,0,0,0,0,0
44,October,0,0,0,0,0,0
45,November,0,0,0,0,0,0
46,November,0,0,0,0,0,0
47,November,0,0,0,0,0,0
48,November,0,0,0,0,0,0
49,December,0,0,0,0,0,0
50,December,0,0,0,0,0,0
51,December,0,0,0,0,0,0
52,December,0,0,0,0,0,0
